rank,team,conference,record
1,Duke,29-2,ACC
2,Michigan,28-2,Big Ten
3,Arizona,29-2,Big 12
4,Florida,25-6,SEC
5,Illinois,23-7,Big Ten
6,Gonzaga,28-3,WCC
7,Houston,26-5,Big 12
8,Iowa St.,25-6,Big 12
9,UConn,27-4,Big East
10,Purdue,23-8,Big Ten
11,Michigan St.,25-5,Big Ten
12,Nebraska,25-5,Big Ten
13,Louisville,22-9,ACC
14,Virginia,27-4,ACC
15,Texas Tech,22-9,Big 12
16,Vanderbilt,24-7,SEC
17,Alabama,23-8,SEC
18,Arkansas,23-8,SEC
19,Kansas,22-9,Big 12
20,Saint Mary's (CA),26-4,WCC
21,Tennessee,21-10,SEC
22,St. John's (NY),25-6,Big East
23,North Carolina,24-7,ACC
24,BYU,21-10,Big 12
25,Iowa,20-10,Big Ten
26,Wisconsin,22-9,Big Ten
27,Saint Louis,26-4,Atlantic 10
28,Kentucky,19-12,SEC
29,Utah St.,24-6,Mountain West
30,Ohio St.,20-11,Big Ten
31,Georgia,22-9,SEC
32,Miami (FL),24-7,ACC
33,Villanova,24-7,Big East
34,UCLA,21-10,Big Ten
35,NC State,19-12,ACC
36,Clemson,22-9,ACC
37,Indiana,18-13,Big Ten
38,SMU,19-12,ACC
39,Auburn,16-15,SEC
40,TCU,21-10,Big 12
41,Texas,17-13,SEC
42,Santa Clara,23-7,WCC
43,Texas A&M,21-10,SEC
44,VCU,24-7,Atlantic 10
45,New Mexico,21-9,Mountain West
46,Tulsa,22-6,American
47,Cincinnati,17-14,Big 12
48,San Diego St.,19-10,Mountain West
49,Baylor,15-15,Big 12
50,South Fla.,21-8,American
51,UCF,20-10,Big 12
52,Akron,24-5,MAC
53,Miami (OH),28-0,MAC
54,Virginia Tech,19-12,ACC
55,Oklahoma,17-14,SEC
56,Boise St.,19-10,Mountain West
57,Seton Hall,20-11,Big East
58,West Virginia,18-13,Big 12
59,Stanford,20-11,ACC
60,Missouri,20-11,SEC
61,Washington,15-16,Big Ten
62,McNeese,24-5,Southland
63,Belmont,25-6,MVC
64,Yale,21-5,Ivy League
65,California,20-10,ACC
66,Wake Forest,16-15,ACC
67,Arizona St.,16-15,Big 12
68,Grand Canyon,20-11,Mountain West
69,Florida St.,17-14,ACC
70,Northwestern,13-18,Big Ten
71,Colorado,17-14,Big 12
72,Nevada,20-11,Mountain West
73,Minnesota,15-16,Big Ten
74,Dayton,21-10,Atlantic 10
75,LSU,15-16,SEC
76,Southern California,17-13,Big Ten
77,UNI,21-12,MVC
78,Oklahoma St.,18-13,Big 12
79,High Point,26-4,Big South
80,Wichita St.,20-10,American
81,Creighton,15-16,Big East
82,Butler,16-15,Big East
83,Providence,14-17,Big East
84,Utah Valley,21-7,WAC
85,Syracuse,15-16,ACC
86,SFA,25-4,Southland
87,Colorado St.,19-11,Mountain West
88,George Mason,22-8,Atlantic 10
89,George Washington,16-14,Atlantic 10
90,UNCW,24-5,CAA
91,Hofstra,19-10,CAA
92,Ole Miss,12-19,SEC
93,Marquette,12-19,Big East
94,Illinois St.,19-12,MVC
95,Notre Dame,13-18,ACC
96,Georgetown,14-17,Big East
97,Xavier,14-17,Big East
